Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
County	County Clerk Office	Lampasas		Dianne		Miller		Clerk	409 S Pecan, Ste 201	Lampasas	76550	(512)556-8271	
Justice of the Peace	Precinct 1 Place 1	Lampasas		Misty	L.	Wakeman		Judge	501 E 4th St, Ste 105	Lampasas	76550-0412	(512)564-1845	 misty.wakeman@co.lampasas.tx.us
Municipal	Lometa	Lampasas		Sharon	F.	Watson		Presiding Judge	P O Box 280	Lometa	76853-0280	(512)752-3691	 lmc@lometatx.com
District	27th District Court	Lampasas		Holly		Wolfe		Court Reporter	409 S Pecan St, Ste 204	Lampasas	76550	(254)933-5270	 judge.gauntt@bellcounty.texas.gov
District	218th District Court	La Salle		Liche		Cavazos		Court Reporter	1405 Campbell Ave	Jourdanton	78026	(210)710-9081	 coordinator@81-218.txcourts.gov
Municipal	Encinal	La Salle		Hector		Cortez		Presiding Judge	P O Box 120	Encinal	78019-0149	(956)948-5226	 encinal.municipal@yahoo.com
County	County Court	La Salle		Jacinta		Cruz		Court Coordinator	101 Courthouse Sq, Ste 105	Cotulla	78014	(830)483-5139	 jrodjr@excite.com
District	81st District Court	La Salle		Jennifer	Margaret	Dillingham		Judge	1405 Campbell Ave, Ste 101	Jourdanton	78026	(830)769-3750	 coordinator@81-218.txcourts.gov
District		La Salle		Audrey		Louis		Attorney	1104 A St	Floresville	78114	(830)393-2200	
County	County Clerk Office	La Salle		Sonia		Maldonado		Clerk	101 Courthouse Sq, Ste 107	Cotulla	78014	(830)483-5120	 sonia.maldonado@co.la-salle.tx.us
District	District Clerk Office	La Salle		Sonia		Maldonado		Clerk	101 Courthouse Sq, Ste 107	Cotulla	78014	(830)483-5120	 sonia.maldonado@co.la-salle.tx.us
County		La Salle		Elizabeth		Martinez		Attorney	101 Courthouse Sq, Ste 104	Cotulla	78014	(830)483-5127	
County	County Court	La Salle		Leodoro		Martinez	III	Judge	101 Courthouse Sq, Ste 105	Cotulla	78014	(830)483-5139	 jrodjr@excite.com
Justice of the Peace	Precinct 4 Place 1	La Salle		Janie	Natus	Megliorino		Judge	P O Box 476	Fowlerton	78021	(830)202-0096	 janie.megliorino@co.la-salle.tx.us
Justice of the Peace	Precinct 3 Place 1	La Salle		Ernesto (Neto)		Ramirez		Judge	707 Buckley	Cotulla	78014	(830)879-4128	
District	218th District Court	La Salle		Lori		Riley		Court Coordinator	1405 Campbell Ave, Ste 101	Jourdanton	78118-2930	(830)769-3750	 coordinator@81-218.txcourts.gov
Municipal	Cotulla	La Salle		Vicki	Lee	Rodriguez		Presiding Judge	117 N Front St	Cotulla	78014	(830)879-2367	
Justice of the Peace	Precinct 1 Place 1	La Salle		Roxanna	G.	Rodriguez		Judge	212 Center St	Cotulla	78014	(830)202-3051	 jp1@co.la-salle.tx.us
District	81st District Court	La Salle		Julie		Verastegui		Court Reporter	1405 Campbell Ave, Ste 101	Jourdanton	78026	(210)326-9328	 coordinator@81-218.txcourts.gov
District	218th District Court	La Salle		Norma		Villanueva	(Criminal)	Court Coordinator	1405 Campbell Ave, Ste 101	Jourdanton	78118-2930	(830)769-3750	 coordinator@81-218.txcourts.gov
Justice of the Peace	Precinct 2 Place 1	La Salle		Frank		Weikel		Judge	P O Box 251	Encinal	78019	(956)948-5086	 frank.weikel@co.la-salle.tx.us
District	218th District Court	La Salle		Russell		Wilson		Judge	1405 Campbell Ave, Ste 101	Jourdanton	78118-2930	(830)769-3750	 coordinator@81-218.txcourts.gov
District	25th District Court	Lavaca		Lynn		Bothe		Court Coordinator	211 W Court St	Seguin	78155-5730	(830)303-4188 - ext. 1         	
Municipal	Shiner	Lavaca		Melinda	Denice	Bottino		Associate Judge	P O Box 308	Shiner	77984	(361)594-2406	 shinerjudge@yahoo.com
District	2nd 25th District Court	Lavaca		Jessica	R.	Crawford		Judge	211 W Court St, Rm 220A	Seguin	78155	(830)303-9705	 rachel.luna@co.guadalupe.tx.us
County		Lavaca		Kyle	A.	Denney		Attorney	P O Box 576	Hallettsville	77964-0576	(361)798-4757	
Justice of the Peace	Precinct 1 Place 1	Lavaca		Steven	E.	Greenwell		Judge	P O Box 288	Hallettsville	77964-0288	(361)798-3945	
Municipal	Hallettsville	Lavaca		Hallie	Lee	Hall		Presiding Judge	101 N Main	Hallettsville	77964-2727	(361)798-3681	 courtclerk@cityofhallettsville.org
Justice of the Peace	Precinct 4 Place 1	Lavaca		Hallie	Lee	Hall		Judge	113 Nelson St	Yoakum	77995-2736	(361)293-9146	 hallie.hall@co.lavaca.tx.us
Justice of the Peace	Precinct 2 Place 1	Lavaca		Travis	M.	Hill		Judge	P O Box 328	Moulton	77975	(361)596-8308	 Moultonlaw@sbcglobal.net
District	25th District Court	Lavaca		D'Lois	L.	Jones		Court Reporter	211 W Court St	Seguin	78155-5730	(830)303-4188 - ext. 1         	
District	2nd 25th District Court	Lavaca		Rachel		Luna		Court Coordinator	211 W Court St, Rm 220A	Seguin	78155	(830)303-9705	 rachel.luna@co.guadalupe.tx.us
Municipal	Hallettsville	Lavaca		Sheila		Medina		Associate Judge	101 N Main	Hallettsville	77964-2727	(361)798-3681	 courtclerk@cityofhallettsville.org
County	County Court	Lavaca		Keith		Mudd		Judge	P O Box 243	Hallettsville	77964-0243	(361)798-2301	 kristicline@co.lavaca.tx.us
District	25th District Court	Lavaca		William	D.	Old	III	Judge	211 W Court St	Seguin	78155-5730	(830)303-4188 - ext. 1         	
Municipal	Yoakum	Lavaca		Daniel	Wayne	Pelech		Presiding Judge	P O Box 738	Yoakum	77995-0738	(361)293-6321	 jgarza.12@cityofyoakum.org
Municipal	Shiner	Lavaca		Robert	W.	Penley	Sr.	Presiding Judge	P O Box 308	Shiner	77984	(361)594-2406	 shinerjudge@yahoo.com
Municipal	Moulton	Lavaca		William	J.	Rohrbach		Presiding Judge	P O Box 369	Moulton	77975-0369	(361)596-4621	 court@cityofmoulton.com
County	County Court	Lavaca		Nailene		Ruppert		Court Coordinator	P O Box 243	Hallettsville	77964-0243	(361)798-2301	 kristicline@co.lavaca.tx.us
District	2nd 25th District Court	Lavaca		Lori		Schmid		Court Reporter	211 W Court St, Rm 220A	Seguin	78155	(830)302-7005	 rachel.luna@co.guadalupe.tx.us
County	County Clerk Office	Lavaca		Barbara	K.	Steffek		Clerk	P O Box 326	Hallettsville	77964-0326	(361)798-3612	 countyclerk@co.lavaca.tx.us
District	District Clerk Office	Lavaca		Lori	A.	Wenske		Clerk	P O Box 306	Hallettsville	77964-0306	(361)798-2351	
Justice of the Peace	Precinct 3 Place 1	Lavaca		Mark	W.	Yackel		Judge	P O Box 1479	Shiner	77984-1479	(361)594-8505	 mwyackel@co.lavaca.tx.us
County	County Clerk Office	Lee		Sharon		Blasig		Clerk	P O Box 419	Giddings	78942	(979)542-3684	 sharon.blasig@co.lee.tx.us
District	21st District Court	Lee		Carson	T.	Campbell		Judge	100 E Main, Ste 305	Brenham	77833	(979)277-6232	
Municipal	Giddings	Lee		Robert	Byron	Lee		Presiding Judge	118 E Richmond St	Giddings	78942-4147	(979)540-2707	 giddingsmuncourt@giddings.net
County	County Court	Lee		Frank		Malinak	III	Judge	200 S Main St, Rm 107	Giddings	78942	(979)542-3178	 chelley.resler@co.lee.tx.us
Justice of the Peace	Precinct 3 Place 1	Lee		Don	M.	Milburn		Judge	P O Box 587	Lexington	78947	(979)773-2267	 jp3@co.lee.tx.us
District		Lee		Martin	J.	Placke		Attorney	200 S Main St, Rm 305	Giddings	78942-0176	(979)542-3233	
District	21st District Court	Lee		Maggie		Raiford		Court Reporter	P O Box 358	Giddings	78942-0358	(979)542-2947	
District	335th District Court	Lee		Holly		Schulz		Court Reporter	P O Box 373	McDade	78650	(512)273-2974	 csee@burlesoncounty.org
District	335th District Court	Lee		Cindy		See		Court Coordinator	205 E Fox St, Ste 2002	Caldwell	77836-1764	(979)567-2361	 csee@burlesoncounty.org
Municipal	Lexington	Lee		Danita	W.	Smith		Presiding Judge	P O Box 60	Lexington	78947	(979)773-2221	 court@cityoflexingtontx.com
Justice of the Peace	Precinct 4 Place 1	Lee		Danita	W.	Smith		Judge	P O Box 141	Dime Box	77853	(979)884-4001	 jp4@co.lee.tx.us
District	District Clerk Office	Lee		Lisa		Teinert		Clerk	P O Box 176	Giddings	78942-0176	(979)542-2947	 lisa.teinert@co.lee.tx.us
District	335th District Court	Lee		Reva	L.	Towslee Corbett		Judge	205 E Fox St, Ste 2002	Caldwell	77836	(979)567-2335	 csee@burlesoncounty.org
Municipal	Giddings	Lee		Patricia		Tydlacka-Adcock		Associate Judge	118 E Richmond St	Giddings	78942-4147	(979)540-2707	 giddingsmuncourt@giddings.net
Justice of the Peace	Precinct 2 Place 1	Lee		Michael	A.	York		Judge	200 S Main St, Rm 114	Giddings	78942	(979)542-3030	 jp2@co.lee.tx.us
District	369th District Court	Leon		Nancy		Adams		Court Reporter	P O Box 39	Centerville	75833-0039	(903)721-2286	 linda.shannon@co.leon.tx.us
Justice of the Peace	Precinct 1 Place 1	Leon		Jeff		Carr		Judge	P O Box 609	Buffalo	75831-9804	(903)322-4795	
County		Leon		Keith		Cook		Attorney	P O Box 429	Centerville	75833	(903)536-2131	
District	369th District Court	Leon		C. Michael		Davis		Judge	P O Box 802	Centerville	75833	(903)536-1032	 linda.shannon@co.leon.tx.us
Justice of the Peace	Precinct 2 Place 1	Leon		Randee	Lynn	Doak		Judge	P O Box 69	Centerville	75833-0069	(903)536-2523	 jwilliams@co.leon.tx.us
District	278th District Court	Leon		Sherry		Fabre		Court Coordinator	1100 University Ave, Ste 202	Huntsville	77340-4642	(936)436-4916	 sfabre@co.walker.tx.us
Municipal	Buffalo	Leon		Nora	Elia	Garcia-Mata		Presiding Judge	P O Box 219	Buffalo	75831-0219	(903)322-5347	 municipalcourt@buffalotex.com
District	278th District Court	Leon		Cindy		Gutierrez		Court Coordinator	1100 University Ave, Ste 202	Huntsville	77340-4642	(936)436-4916	 sfabre@co.walker.tx.us
District		Leon		James	Caleb	Henson		Attorney	P O Box 1010	Centerville	75833-1010	(903)536-7161	
Municipal	Oakwood	Leon		Charles		Kloesel		Presiding Judge	P O Box 96	Oakwood	75855	(903)545-0030	 omc75855@hotmail.com
District	District Clerk Office	Leon	Ms.	Cassandra		Noey		Clerk	P O Box 39	Centerville	75833-0039	(903)536-2227	
District	278th District Court	Leon		Hal	R.	Ridley		Judge	1100 University Ave, Ste 202	Huntsville	77340-4642	(936)436-4916	 sfabre@co.walker.tx.us
County	County Court	Leon		Byron	Michael	Ryder		Judge	P O Box 429	Centerville	75833	(903)536-2331	 tammy.sanders@co.leon.tx.us
County	County Court	Leon		Tammy		Sanders		Court Coordinator	P O Box 429	Centerville	75833	(903)536-2331	 tammy.sanders@co.leon.tx.us
District	369th District Court	Leon		Linda		Shannon		Court Coordinator	P O Box 39	Centerville	75833	(903)536-1032	 linda.shannon@co.leon.tx.us
District	87th District Court	Leon		Linda		Shannon		Court Coordinator	P O Box 39	Centerville	75833	(903)536-1032	 linda.shannon@co.leon.tx.us
District	278th District Court	Leon		Sherry		Stephens		Court Reporter	1100 University Ave, Ste 202	Huntsville	77340-4642	(936)436-4916	 sfabre@co.walker.tx.us
District	87th District Court	Leon		Position		Vacant		Court Reporter	P O Box 39	Centerville	75833-0039	(903)654-7604	 linda.shannon@co.leon.tx.us
Municipal	Marquez	Leon		Position		Vacant		Presiding Judge	P O Box 85	Marquez	77865-0085	(903)529-3020	 cityofmarqueztx@yahoo.com
County	County Clerk Office	Leon	Ms.	Christie		Wakefield		Clerk	155 N Cass, 1st Fl	Centerville	75833	(903)536-2352	
District	87th District Court	Leon		Amy	Thomas	Ward		Judge	P O Box 802	Centerville	75833-0039	(903)536-1032	 linda.shannon@co.leon.tx.us
Justice of the Peace	Precinct 4 Place 1	Leon		Lee		Weiler		Judge	320 S Austin St	Marquez	77865	(903)529-1261	 lee.weiler@co.leon.tx.us
Municipal	Jewett	Leon		Delphia	M.	Woodall		Presiding Judge	P O Box 235	Jewett	75846-0235	(903)626-6050	 normangeemc@yahoo.com
Municipal	Normangee	Leon		Delphia	M.	Woodall		Presiding Judge	P O Box 37	Normangee	77871	(936)396-3691	 normangeemc@yahoo.com
Justice of the Peace	Precinct 2 Place 1	Liberty		Jimmy		Belt		Judge	P O Box 426	Raywood	77582	(936)587-4010	 jp2@co.liberty.tx.us
Municipal	Hardin	Liberty		Charles	S.	Brack		Presiding Judge	P O Box 324	Hardin	77561-0324	(936)298-2117	
Municipal	Kenefick	Liberty		Charles	S.	Brack		Presiding Judge	3564 FM 1008	Dayton	77535	(936)258-2130	 kenefickcitysec@outlook.com
Justice of the Peace	Precinct 5 Place 1	Liberty		Wade		Brown		Judge	22350 Hwy 321	Cleveland	77327	(281)592-9229	 jp5@co.liberty.tx.us
District	253rd District Court	Liberty		Chap	B.	Cain	III	Judge	1923 Sam Houston, Rm 223	Liberty	77575-4800	(936)336-4668	 linda.leonard@co.liberty.tx.us
County	County Clerk Office	Liberty		Lee		Chambers		Clerk	P O Box 369	Liberty	77575-4846	(936)336-4670	 lee.chambers@co.liberty.tx.us
County	County Court at Law	Liberty		Thomas		Chambers		Judge	1923 Sam Houston	Liberty	77575-4846	(936)336-4662	 tchambers@co.liberty.tx.us
Municipal	Dayton	Liberty		Alan	D.	Conner		Presiding Judge	2002 N Cleveland	Dayton	77535-2695	(936)258-5312	 court@daytontx.org
Municipal	Cleveland	Liberty		Ralph	D.	Fuller		Associate Judge	226 Peach St	Cleveland	77327	(281)592-5639	 courtclerks@clevelandtexas.com
Justice of the Peace	Precinct 6 Place 1	Liberty		Ralph	D.	Fuller		Judge	304 Campbell St	Cleveland	77327	(281)593-8422	 jp6@co.liberty.tx.us
Municipal	Dayton	Liberty		Barry	Alan	Graves		Associate Judge	2002 N Cleveland	Dayton	77535-2695	(936)258-5312	 court@daytontx.org
Municipal	Liberty	Liberty		Stephen	Eric	Hebert		Presiding Judge	1829 Sam Houston	Liberty	77575-4742	(936)336-3684	 court@cityofliberty.org
Justice of the Peace	Precinct 1 Place 1	Liberty		Stephen	Eric	Hebert		Judge	2103 Cos St	Liberty	77575	(936)336-4558 - ext. 234       	 jp1@co.liberty.tx.us
County	County Court at Law No. 2	Liberty		Wesley		Hinch		Judge	1923 Sam Houston	Liberty	77575	(936)336-4691	 wes.hinch@co.liberty.tx.us
County	County Court at Law	Liberty		Jamie		Hudspeth		Court Reporter	1923 Sam Houston	Liberty	77575-4846	(936)336-4662	 tchambers@co.liberty.tx.us
County	County Court at Law No. 2	Liberty		Kelly		Kirkland		Court Reporter	1923 Sam Houston	Liberty	77575	(936)336-4691 - ext. 1352      	 wes.hinch@co.liberty.tx.us
County	County Court	Liberty		Jay	H.	Knight		Judge	1923 Sam Houston, Rm 201	Liberty	77575-4846	(936)336-4665	 cojudge@co.liberty.tx.us
District	253rd District Court	Liberty		Jo Anne	Horn	Leger		Court Reporter	1923 Sam Houston, Rm 223	Liberty	77575-4800	(936)334-3210	 linda.leonard@co.liberty.tx.us
District	253rd District Court	Liberty		Linda		Leonard		Court Coordinator	1923 Sam Houston, Rm 223	Liberty	77575-4800	(936)336-4668	 linda.leonard@co.liberty.tx.us
Municipal	Daisetta	Liberty		Michael	Ray	Little		Associate Judge	P O Box 549	Daisetta	77533	(936)536-6120	
County	County Court at Law No. 2	Liberty		Kimberly		Melancon		Court Coordinator	1923 Sam Houston	Liberty	77575	(936)336-4691 - ext. 1350      	 wes.hinch@co.liberty.tx.us
Municipal	Dayton Lakes	Liberty		James		Mitchum		Presiding Judge	273 CR 650	Dayton	77535	(936)258-9500	
District	75th District Court	Liberty		Mark	A.	Morefield		Judge	1923 Sam Houston, Rm 304	Liberty	77575	(936)336-4678	 peggy.thrasher@co.liberty.tx.us
Municipal	Plum Grove	Liberty		Troy	Ashley	Mungia		Presiding Judge	9845 Plum Grove Rd	Cleveland	77327	(281)659-4300	 plumgrovecourt@gmail.com
Justice of the Peace	Precinct 3 Place 1	Liberty		Cody	Jason	Parrish		Judge	P O Box 796	Hardin	77561	(936)298-9407	 jennifer.johnson@co.liberty.tx.us
District		Liberty		Logan		Pickett		Attorney	1923 Sam Houston, Rm 112	Liberty	77575	(936)336-4609	
County		Liberty		Matthew		Poston		Attorney	P O Box 9127	Liberty	77575	(936)336-4651	
District	District Clerk Office	Liberty	Ms.	Delia		Sellers		Clerk	1923 Sam Houston, Rm 115	Liberty	77575-4847	(936)336-4682	 dclegal@co.liberty.tx.us
County	County Court at Law	Liberty		Tiffany		Slankard		Court Coordinator	1923 Sam Houston	Liberty	77575-4846	(936)336-4662	 tchambers@co.liberty.tx.us
District	75th District Court	Liberty		Clifton		Smith		Court Reporter	1923 Sam Houston, Rm 304	Liberty	77575	(936)336-4679	 peggy.thrasher@co.liberty.tx.us
Municipal	Cleveland	Liberty		Bob	R.	Steely		Presiding Judge	226 Peach St	Cleveland	77327	(281)592-5639	 courtclerks@clevelandtexas.com
County	County Court	Liberty		Dede		Taylor		Court Coordinator	1923 Sam Houston, Rm 201	Liberty	77575-4486	(936)336-4667	 cojudge@co.liberty.tx.us
District	75th District Court	Liberty		Peggy	S.	Thrasher		Court Coordinator	1923 Sam Houston, Rm 304	Liberty	77575	(936)336-4678	 peggy.thrasher@co.liberty.tx.us
Justice of the Peace	Precinct 4 Place 1	Liberty		Larry	R.	Wilburn		Judge	1300 W Clayton St	Dayton	77535-2469	(936)258-2461	 jp4@co.liberty.tx.us
Municipal	Daisetta	Liberty		John	W.	Wilson		Presiding Judge	P O Box 549	Daisetta	77533	(936)536-6120	
Justice of the Peace	Precinct 2 Place 1	Limestone		James	M.	Bell		Judge	P O Box 194	Coolidge	76635-0194	(254)786-4938	 mike.bell@co.limestone.tx.us
Municipal	Coolidge	Limestone		Ray	J.	Black		Presiding Judge	P O Box 457	Coolidge	76635	(254)786-4814	 coolidgemunicipalcourt@outlook.com
District	77th District Court	Limestone		Kelley		Cate		Court Coordinator	200 W State St, Ste 209	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
District	87th District Court	Limestone		Kelley		Cate		Court Coordinator	P O Box 230	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
Municipal	Mexia	Limestone		Judy		Chambers		Presiding Judge	211 N Sherman	Mexia	76667	(254)562-4118	 normaw@cityofmexia.com
County	County Clerk Office	Limestone		Kerrie		Cobb		Clerk	200 W State St, Ste 102	Groesbeck	76642-0350	(254)729-5504	 coclerk@co.limestone.tx.us
District	77th District Court	Limestone		Sherry		Current		Court Reporter	200 W State St, Ste 209	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
District		Limestone		Roy		DeFriend		Attorney	200 W State St, Ste 110	Groesbeck	76642	(254)729-3814	
County	County Court	Limestone		Richard	L.	Duncan		Judge	200 W State St, Ste 101	Groesbeck	76642-1702	(254)729-3810	
County		Limestone		Linda	K.	Grant		Visiting Judge (local)					
Justice of the Peace	Precinct 1 Place 1	Limestone		Marcus	Ray	Hanna		Judge	310 S Dallas St	Groesbeck	76642	(254)729-2933	 sheila.winn@co.limestone.tx.us
County	County Court	Limestone		Karmen		Hoffpauir		Court Coordinator	200 W State St, Ste 101	Groesbeck	76642-1702	(254)729-3810	
District	District Clerk Office	Limestone		Carol		Jenkins		Clerk	200 W State St, Ste 206	Groesbeck	76642	(254)729-3206	 dcclerk@co.limestone.tx.us
Justice of the Peace	Precinct 4 Place 2	Limestone		Ray		Jones		Judge	P O Box 72	Mexia	76667	(254)562-7113	 ray.jones@co.limestone.tx.us
Justice of the Peace	Precinct 3 Place 1	Limestone		Sherri		LeNoir		Judge	200 W State St, #201	Groesbeck	76642-1702	(254)729-3630	 sherri.lenoir@co.limestone.tx.us
Municipal	Groesbeck	Limestone		M.	L.	Nance		Presiding Judge	901 W Yeagua St	Groesbeck	76642-1630	(254)729-5794	 mnance@cityofgroesbeck.com
Municipal	Kosse	Limestone		M.	L.	Nance		Presiding Judge	P O Box 116	Kosse	76653	(254)375-2212	 cityofkosse@gmail.com
Municipal	Thornton	Limestone		M.	L.	Nance		Presiding Judge	P O Box 396	Thornton	76687-0396	(254)380-1085	 thorntoncourt@amaonline.com
District	77th District Court	Limestone		Patrick (Pat)		Simmons		Judge	200 W State St, Ste 209	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
District	87th District Court	Limestone		Position		Vacant		Court Reporter	200 W State St, Ste 209	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
District	87th District Court	Limestone		Amy	Thomas	Ward		Judge	200 W State St, Ste 209	Groesbeck	76642-0230	(254)729-5705	 kelley.cate@co.limestone.tx.us
County	County Court	Lipscomb		Dori		Artis		Judge	P O Box 69	Lipscomb	79056-0069	(806)862-4131	 mickey.simpson@co.lipscomb.tx.us
County		Lipscomb		Matthew		Bartosiewicz		Attorney	P O Box 348	Booker	79005-0348	(806)658-4545	
County	County Clerk Office	Lipscomb	Ms.	Kim		Blau		Clerk	P O Box 70	Lipscomb	79056-0070	(806)862-3091	 kim.blau@co.lipscomb.tx.us
District	District Clerk Office	Lipscomb	Ms.	Kim		Blau		Clerk	P O Box 70	Lipscomb	79056-0070	(806)862-3091	 kim.blau@co.lipscomb.tx.us
District	31st District Court	Lipscomb		Dana		Burch		Court Coordinator	P O Box 766	Wheeler	79096-0766	(806)826-5501	 dana.burch@co.wheeler.tx.us
Municipal	Follett	Lipscomb		Shelley	G.	Burke		Presiding Judge	P O Box 216	Follett	79034-0216	(806)653-3411	 cityoffollett@live.com
Municipal	Booker	Lipscomb		Craig	Lee	Custer		Presiding Judge	P O Box M	Booker	79005-0450	(806)658-4579	
